created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-05-21,4.69,6.5,7.15,51806.41,-66.07,65.99,51.53,6.5
2020-05-22,0.85,2.14,3.27,53246,-65.43,62.79,49.2,2.14
2020-05-23,1.35,2.59,3.59,54685.39,-62.82,60.56,51.92,2.59
2020-05-24,2,3.34,4.34,56126,-65.95,68.28,45.17,3.34
2020-05-25,2.68,3.81,4.43,57566,-64.38,68.15,42.47,3.81
2020-05-26,3.64,5.21,5.9,59006,-65.31,69.93,49,3.06
2020-05-27,5.29,7.82,8.98,60446,-63.38,70.39,46.47,7.82
2020-05-28,7.63,10.57,11.86,61886,-64.89,72.43,44.68,10.57
2020-05-29,6.17,8.45,9.35,63326,-64.2,73.4,37.91,8.45
2020-05-30,6.04,8.04,8.84,64766.17,-66.9,73.05,37.19,8.03
2020-05-31,11.35,15.22,16.51,66206,-72.86,73.18,39.92,15.02
2020-06-01,9.31,11.98,12.85,67316,-77.36,71.98,42.96,11.98
